text_id,sample_date,sample_id,result_value,percentage,median,anomaly_score,is_anomaly
AD23-00429.026,2023-11-15,AD23-00429.026,521904,6.397,884428.5,-1,True
AD23-00002.005,2023-01-02,AD23-00002.005,33077,2.218,91252.0,-1,True
AD23-00394.001,2023-10-22,AD23-00394.001,629672,9.487,671922.0,-1,True
AD22-00036.007,2022-12-26,AD22-00036.007,293206,3.847,48755.0,-1,True
AD22-00013.003,2022-12-07,AD22-00013.003,2132063,28.37058,225253.0,-1,True
AD23-00394.023,2023-10-22,AD23-00394.023,133828,3.752,61811.0,-1,True
AD22-00012.015,2022-12-07,AD22-00012.015,263836,15.351682,671922.0,-1,True
AD23-00394.022,2023-10-22,AD23-00394.022,142885,4.041,54902.5,-1,True
AD24-00051.015,2024-02-04,AD24-00051.015,62054,6.501,53001.0,-1,True
AD22-00002.004,2022-08-08,AD22-00002.004,310016,0.334572,143990.0,-1,True
AD24-00116.033,2024-03-18,AD24-00116.033,551619,6.435,319781.0,-1,True
AD23-00429.005,2023-11-15,AD23-00429.005,315776,2.65,143990.0,-1,True
AD23-00432.004,2023-11-16,AD23-00432.004,156345,1.833,91185.0,-1,True
AD23-00399.008,2023-10-25,AD23-00399.008,1046019,14.721,25183.0,-1,True
AD24-00116.020,2024-03-18,AD24-00116.020,265044,3.515,22681.0,-1,True
AD23-00429.060,2023-11-15,AD23-00429.060,555039,6.535,671922.0,-1,True
AD23-00394.001,2023-10-22,AD23-00394.001,162508,2.448,319982.0,-1,True
AD23-00399.007,2023-10-25,AD23-00399.007,998699,10.008,884428.5,-1,True
AD22-00012.011,2022-12-07,AD22-00012.011,347649,6.522333,225253.0,-1,True
AD23-00011.005,2023-01-09,AD23-00011.005,678201,16.248,671922.0,-1,True
AD23-00429.032,2023-11-15,AD23-00429.032,222912,7.989,68217.0,-1,True
AD22-00012.012,2022-12-07,AD22-00012.012,60385,3.994872,91252.0,-1,True
AD22-00013.009,2022-12-07,AD22-00013.009,132932,2.376443,91252.0,-1,True
AD22-00013.002,2022-12-07,AD22-00013.002,937462,13.819405,218747.0,-1,True
AD23-00429.003,2023-11-15,AD23-00429.003,2470464,30.264,319781.0,-1,True
AD22-00013.008,2022-12-07,AD22-00013.008,151542,2.301696,80864.0,-1,True
AD22-00012.003,2022-12-07,AD22-00012.003,1332232,23.204609,218747.0,-1,True
AD22-00036.015,2022-12-26,AD22-00036.015,236248,1.975,80864.0,-1,True
AD23-00429.050,2023-11-15,AD23-00429.050,360709,6.006,884428.5,-1,True
AD23-00429.046,2023-11-15,AD23-00429.046,134198,2.136,225253.0,-1,True
AD23-00434.013,2023-11-19,AD23-00434.013,166695,1.918,143990.0,-1,True
AD22-00012.006,2022-12-07,AD22-00012.006,496579,6.729136,319982.0,-1,True
AD23-00429.053,2023-11-15,AD23-00429.053,573325,6.077,319781.0,-1,True
AD23-00429.005,2023-11-15,AD23-00429.005,2094468,17.578,225253.0,-1,True
AD23-00011.009,2023-01-09,AD23-00011.009,91149,1.195,218747.0,-1,True
AD23-00430.003,2023-11-15,AD23-00430.003,1511737,17.828,671922.0,-1,True
AD23-00432.020,2023-11-16,AD23-00432.020,94906,0.916,218747.0,-1,True
AD23-00429.029,2023-11-15,AD23-00429.029,1885965,24.261,884428.5,-1,True
AD22-00015.012,2022-12-08,AD22-00015.012,200446,2.86628,35123.0,-1,True
AD23-00399.006,2023-10-25,AD23-00399.006,142656,2.413,319982.0,-1,True
AD23-00399.004,2023-10-25,AD23-00399.004,235282,3.118,91252.0,-1,True
AD22-00013.010,2022-12-07,AD22-00013.010,73603,2.787491,91252.0,-1,True
AD23-00429.041,2023-11-15,AD23-00429.041,212532,2.311,71625.0,-1,True
AD23-00429.030,2023-11-15,AD23-00429.030,330094,4.346,319781.0,-1,True
AD22-00008.003,2022-08-29,AD22-00008.003,239182,0.26306,225253.0,-1,True
AD23-00429.042,2023-11-15,AD23-00429.042,120926,2.246,88015.0,-1,True
AD23-00434.016,2023-11-19,AD23-00434.016,1320084,9.62,25183.0,-1,True
AD22-00014.010,2022-12-08,AD22-00014.010,456834,8.346532,225253.0,-1,True
AD23-00002.001,2023-01-02,AD23-00002.001,75032,0.652,225253.0,-1,True
AD23-00399.003,2023-10-25,AD23-00399.003,208587,3.946,61811.0,-1,True
AD22-00013.009,2022-12-07,AD22-00013.009,153452,2.743281,91185.0,-1,True
AD24-00116.017,2024-03-18,AD24-00116.017,149735,2.231,80864.0,-1,True
AD23-00429.019,2023-11-15,AD23-00429.019,510337,18.211,884428.5,-1,True
AD23-00002.004,2023-01-02,AD23-00002.004,175919,3.029,57539.0,-1,True
AD23-00011.006,2023-01-09,AD23-00011.006,391025,10.3,319781.0,-1,True
AD23-00432.004,2023-11-16,AD23-00432.004,1432239,16.796,671922.0,-1,True
AD22-00017.008,2022-12-12,AD22-00017.008,170223,1.983,218747.0,-1,True
AD23-00429.034,2023-11-15,AD23-00429.034,353190,4.093,5326.0,-1,True
AD23-00429.039,2023-11-15,AD23-00429.039,1139364,11.371,91252.0,-1,True
AD23-00394.003,2023-10-22,AD23-00394.003,84605,1.699,319982.0,-1,True
AD23-00394.039,2023-10-22,AD23-00394.039,79563,1.385,143990.0,-1,True
AD23-00429.024,2023-11-15,AD23-00429.024,141132,1.729,88015.0,-1,True
AD23-00394.039,2023-10-22,AD23-00394.039,121407,2.114,225253.0,-1,True
AD23-00002.004,2023-01-02,AD23-00002.004,208395,3.588,71625.0,-1,True
AD23-00432.016,2023-11-16,AD23-00432.016,226508,2.454,71625.0,-1,True
AD23-00011.005,2023-01-09,AD23-00011.005,75270,1.803,91185.0,-1,True
AD24-00051.024,2024-02-04,AD24-00051.024,58364,4.376,319982.0,-1,True
AD23-00434.008,2023-11-19,AD23-00434.008,344713,5.575,53001.0,-1,True
AD23-00399.004,2023-10-25,AD23-00399.004,435935,5.777,319982.0,-1,True
AD22-00014.005,2022-12-08,AD22-00014.005,68399,2.735475,91252.0,-1,True
AD23-00434.014,2023-11-19,AD23-00434.014,684451,14.928,25183.0,-1,True
AD23-00429.021,2023-11-15,AD23-00429.021,198423,4.248,61811.0,-1,True
AD24-00051.020,2024-02-04,AD24-00051.020,140081,11.464,61811.0,-1,True
AD24-00071.017,2024-02-15,AD24-00071.017,270179,3.645,53001.0,-1,True
AD23-00399.030,2023-10-25,AD23-00399.030,1357610,14.771,319781.0,-1,True
AD23-00432.005,2023-11-16,AD23-00432.005,232960,3.215,143990.0,-1,True
AD23-00430.002,2023-11-15,AD23-00430.002,1480916,17.495,671922.0,-1,True
AD23-00429.030,2023-11-15,AD23-00429.030,198781,2.617,80864.0,-1,True
AD22-00013.003,2022-12-07,AD22-00013.003,285199,3.795038,319781.0,-1,True
AD23-00399.003,2023-10-25,AD23-00399.003,518203,9.803,53001.0,-1,True
AD22-00017.008,2022-12-12,AD22-00017.008,328301,3.824,143990.0,-1,True
AD23-00429.018,2023-11-15,AD23-00429.018,209184,3.246,53001.0,-1,True
AD23-00429.005,2023-11-15,AD23-00429.005,289127,2.426,31114.0,-1,True
AD23-00432.016,2023-11-16,AD23-00432.016,281254,3.047,319982.0,-1,True
AD22-00036.012,2022-12-26,AD22-00036.012,979707,14.314,671922.0,-1,True
AD22-00015.014,2022-12-08,AD22-00015.014,181438,2.960828,319982.0,-1,True
AD23-00429.030,2023-11-15,AD23-00429.030,1897372,24.978,884428.5,-1,True
AD24-00051.028,2024-02-04,AD24-00051.028,205692,6.153,319982.0,-1,True
AD22-00036.008,2022-12-26,AD22-00036.008,214077,2.188,218747.0,-1,True
AD23-00429.053,2023-11-15,AD23-00429.053,253411,2.686,63368.0,-1,True
AD22-00017.005,2022-12-12,AD22-00017.005,1834554,16.16,884428.5,-1,True
AD23-00429.026,2023-11-15,AD23-00429.026,92837,1.138,225253.0,-1,True
AD24-00051.019,2024-02-04,AD24-00051.019,23580,1.857,218747.0,-1,True
AD22-00015.010,2022-12-08,AD22-00015.010,111189,3.035073,319781.0,-1,True
AD23-00429.022,2023-11-15,AD23-00429.022,203051,4.215,671922.0,-1,True
AD23-00434.008,2023-11-19,AD23-00434.008,36734,0.594,218747.0,-1,True
AD23-00399.038,2023-10-25,AD23-00399.038,1068058,12.168,53001.0,-1,True
AD22-00036.011,2022-12-26,AD22-00036.011,1054663,17.917,884428.5,-1,True
AD23-00429.054,2023-11-15,AD23-00429.054,190109,2.111,88015.0,-1,True
AD23-00429.051,2023-11-15,AD23-00429.051,331242,4.112,319781.0,-1,True
AD23-00429.055,2023-11-15,AD23-00429.055,167164,1.648,80864.0,-1,True
